id,category,subcategory,food_name,local_name,aliases,serving_size,serving_unit,weight_g,calories_kcal,protein_g,carbohydrates_g,fat_g,dietary_fiber_g,total_sugars_g,saturated_fat_g,sodium_mg,cholesterol_mg,food_type,source,ingredients
1,Bakery,"Breads, Rolls & Flatbreads",Arepa,,"arepa, arepas",100,g,100,215,5.4,36.4,5.3,2.5,0.9,2.8,300,5,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
2,Bakery,"Breads, Rolls & Flatbreads",Bagel,,"bagel, bagels",100,g,100,245,10,47.9,1.5,4,6,0,400,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
3,Bakery,"Breads, Rolls & Flatbreads",Bagel with Ham Egg Cheese,,"bagel with ham egg cheese, anda, bagel with ham egg cheeses, bagel-with-ham-egg-cheese",100,g,100,483,26.7,52.4,18.5,0.4,7,7.9,1300,243,Meals / Prepared Food,curated,"Pork, Egg, Cheese, Ham, Refined Flour (Maida), Yeast, Salt, Water"
4,Bakery,"Breads, Rolls & Flatbreads",Banana Bread,,"banana bread, banana breads, banana-bread, kela",100,g,100,186,2.5,31.1,6,0.6,0,1.3,200,24,Meals / Prepared Food,curated,"Banana, Bread, Refined Flour (Maida), Yeast, Salt, Water"
5,Bakery,"Breads, Rolls & Flatbreads",Blueberry Muffin,,"blueberry muffin, blueberry muffins, blueberry-muffin",100,g,100,214,2.6,30.2,9.2,0.6,17.9,1.6,200,17,Meals / Prepared Food,curated,"Blueberries, Refined Flour (Maida), Yeast, Salt, Water"
6,Bakery,"Breads, Rolls & Flatbreads",Blueberry Pancakes,,"blueberry pancakes, blueberry pancak, blueberry pancakeses, blueberry-pancakes",100,g,100,84,2.3,11,3.5,0,0,0.8,200,21,Meals / Prepared Food,curated,"Blueberries, Refined Flour (Maida), Yeast, Salt, Water"
7,Bakery,"Breads, Rolls & Flatbreads",Bread Crumbs,,"bread crumbs, bread crumb, bread crumbses, bread-crumbs",100,g,100,427,14.4,77.7,5.7,4.9,6.7,1.3,800,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
8,Bakery,"Breads, Rolls & Flatbreads",Breadfruit,,"breadfruit, breadfruits",100,g,100,227,2.4,59.7,0.5,10.8,24.2,0.1,57,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
9,Bakery,"Breads, Rolls & Flatbreads",Breadfruit Seeds,,"breadfruit seeds, breadfruit seed, breadfruit seedses, breadfruit-seeds",100,g,100,57,2.2,8.8,1.7,1.6,0,0.5,40,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
10,Bakery,"Breads, Rolls & Flatbreads",Breadsticks,,"breadsticks, breadstick, breadstickses",100,g,100,103,3,17.1,2.4,0.8,0.3,0.4,200,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
11,Bakery,"Breads, Rolls & Flatbreads",Buttermilk Pancakes,,"buttermilk pancakes, buttermilk pancak, buttermilk pancakeses, buttermilk-pancakes, chaas, lassi",100,g,100,86,2.6,10.9,3.5,0,0,0.7,200,22,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
12,Bakery,"Breads, Rolls & Flatbreads",Buttermilk Waffle,,"buttermilk waffle, buttermilk waffles, buttermilk-waffle, chaas, lassi",100,g,100,102,2.4,16,3.1,0.9,1.5,0.8,200,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
13,Bakery,"Breads, Rolls & Flatbreads",Chaptti Roti Indian Bread,,"chaptti roti indian bread, chaptti roti indian breads, chaptti-roti-indian-bread",100,g,100,491,7,0.1,2.5,0,68.4,2.5,0,0,Meals / Prepared Food,curated,"Bread, Whole Wheat Flour (Atta), Refined Flour (Maida), Yeast, Salt, Water"
14,Bakery,"Breads, Rolls & Flatbreads",Cheese Bread,,"cheese bread, cheese breads, cheese-bread",100,g,100,196,5,21.5,10,1,1,3,400,5,Meals / Prepared Food,curated,"Bread, Cheese, Refined Flour (Maida), Yeast, Salt, Water"
15,Bakery,"Breads, Rolls & Flatbreads",Chicken Egg Roll,,"chicken egg roll, anda, chicken egg rolls, chicken-egg-roll, murgi",100,g,100,158,8.4,22.8,3.6,1.9,4.5,0.8,400,11,Meals / Prepared Food,curated,"Chicken, Egg, Refined Flour (Maida), Yeast, Salt, Water"
16,Bakery,"Breads, Rolls & Flatbreads",Chinese Egg Roll,,"chinese egg roll, anda, chinese egg rolls, chinese-egg-roll",100,g,100,223,7.4,24.3,10.6,2.3,0,1.9,400,14,Meals / Prepared Food,curated,"Egg, Refined Flour (Maida), Yeast, Salt, Water"
